"District","District Code","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",288,38.2
"Amistad Academy District","=""2790013""",200,23.7
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",240,9.3
"Area Cooperative Educational Services","=""2440014""",302,15.2
"Ashford School District","=""0030011""",12,2.5
"Avon School District","=""0040011""",63,1.8
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",164,5.4
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",196,6.5
"Bloomfield School District","=""0110011""",280,13.0
"Bolton School District","=""0120011""",24,2.7
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",201,6.0
"Bridgeport Achievement First District","=""2850013""",169,31.9
"Bridgeport School District","=""0150011""",3787,18.3
"Bristol School District","=""0170011""",720,8.5
"Brookfield School District","=""0180011""",90,3.2
"Brooklyn School District","=""0190011""",68,7.3
"Canaan School District","=""0210011""","N/A","N/A"
"Canterbury School District","=""0220011""",25,4.8
"Canton School District","=""0230011""",49,2.8
"Capitol Region Education Council","=""2410014""",312,5.7
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",131,2.7
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",123,6.1
"Colchester School District","=""0280011""",131,4.3
"Colebrook School District","=""0290011""","N/A","N/A"
"Columbia School District","=""0300011""",15,2.8
"Common Ground High School District","=""2680013""",19,11.9
"Connecticut Technical High School System","=""9000016""",2724,25.8
"Cooperative Educational Services","=""2430014""",61,7.2
"Cornwall School District","=""0310011""","N/A","N/A"
"Coventry School District","=""0320011""",104,5.8
"Cromwell School District","=""0330011""",187,9.2
"Danbury School District","=""0340011""",1084,9.9
"Darien School District","=""0350011""",51,1.0
"Deep River School District","=""0360011""","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*"
"Derby School District","=""0370011""",127,8.5
"East Granby School District","=""0400011""",25,2.9
"East Haddam School District","=""0410011""",48,3.7
"East Hampton School District","=""0420011""",75,3.8
"East Hartford School District","=""0430011""",1586,21.9
"East Haven School District","=""0440011""",378,11.3
"East Lyme School District","=""0450011""",112,3.7
"East Windsor School District","=""0470011""",167,12.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",28,8.8
"Eastford School District","=""0390011""",6,3.4
"Easton School District","=""0460011""",13,1.2
"Education Connection","=""2420014""","N/A","N/A"
"Ellington School District","=""0480011""",152,5.5
"Elm City College Preparatory School District","=""2890013""",174,29.2
"Enfield School District","=""0490011""",548,9.6
"Essex School District","=""0500011""","N/A","N/A"
"Explorations District","=""2720013""",13,19.1
"Fairfield School District","=""0510011""",251,2.4
"Farmington School District","=""0520011""",80,1.9
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",133,2.0
"Granby School District","=""0560011""",49,2.3
"Greenwich School District","=""0570011""",201,2.3
"Griswold School District","=""0580011""",244,12.0
"Groton School District","=""0590011""",419,8.4
"Guilford School District","=""0600011""",109,2.9
"Hamden School District","=""0620011""",657,11.0
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",3797,17.7
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Highville Charter School District","=""2860013""",11,3.3
"Integrated Day Charter School District","=""2640013""",16,4.9
"Interdistrict School for Arts and Comm District","=""2650013""",55,29.9
"Jumoke Academy District","=""2610013""",19,3.9
"Kent School District","=""0680011""","N/A","N/A"
"Killingly School District","=""0690011""",196,7.2
"Learn","=""2450014""",85,5.7
"Lebanon School District","=""0710011""",68,5.2
"Ledyard School District","=""0720011""",129,4.9
"Lisbon School District","=""0730011""",19,3.9
"Litchfield School District","=""0740011""",66,5.9
"Madison School District","=""0760011""",78,2.2
"Manchester School District","=""0770011""",665,10.4
"Mansfield School District","=""0780011""",19,1.4
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",1366,16.4
"Middletown School District","=""0830011""",391,7.7
"Milford School District","=""0840011""",397,5.8
"Monroe School District","=""0850011""",60,1.7
"Montville School District","=""0860011""",276,10.7
"Naugatuck School District","=""0880011""",484,10.6
"New Beginnings Inc., Family Academy District","=""2800013""",51,14.7
"New Britain School District","=""0890011""",1875,18.1
